etf,position,name,asset_category,asset_type,country,weight_original,weight_normalized,market_value_usd,cusip,symbol,isin,included_in_equity_analysis,exclusion_reason
SCHY,58,Spark New Zealand Ltd,EC,equity,NZ,21.8799761272,0.22011089467501577,4922214.98,,,,True,
SCHY,59,Kesko Oyj,EC,equity,FI,25.7791408775,0.2593361953190549,5799388.11,,,,True,
SCHY,60,BB Seguridade Participacoes SA,EC,equity,BR,4.671731100700001,0.04699725933328821,1050973.03,,,,True,
SCHY,61,Tisco Financial Group PCL,EC,equity,TH,1.60289776,0.016125029477869403,360594.88,,,,True,
SCHY,62,Koninklijke KPN NV,EC,equity,NL,169.27110565729998,1.7028544406197859,38079967.14,,,,True,
SCHY,63,Cheil Worldwide Inc,EC,equity,KR,7.6690744085,0.07715030489844614,1725268.47,,,,True,
SCHY,64,Schroders PLC,EC,equity,GB,8.6310605349,0.08682781211855815,1941681.07,,,,True,
SCHY,65,Radiant Opto-Electronics Corp,EC,equity,TW,16.5833061445,0.16682679774946796,3730652.97,,,,True,
SCHY,66,Japan Tobacco Inc,EC,equity,JP,130.9243669091,1.317089167172226,29453317.33,,,,True,
SCHY,67,Swisscom AG,EC,equity,CH,184.7654507666,1.858726373229976,41565642.68,,,,True,
SCHY,68,TIM SA/Brazil,EC,equity,BR,30.9793606966,0.31165001093907807,6969252.27,,,,True,
SCHY,69,Ono Pharmaceutical Co Ltd,EC,equity,JP,429.81471394010003,4.323903311404039,96692995.06,,,,True,
SCHY,70,Koninklijke Ahold Delhaize NV,EC,equity,NL,160.4989083707,1.6146068035202676,36106535.33,,,,True,
SCHY,71,BCE Inc,EC,equity,CA,64.80566297109999,0.6519400374867682,14578964.95,05534B760,,,True,
SCHY,72,Ooredoo QPSC,EC,equity,QA,21.725617726,0.21855806090631252,4887489.84,,,,True,
SCHY,73,Jardine Cycle & Carriage Ltd,EC,equity,SG,10.559553636799999,0.10622830595667125,2375523.3,,,,True,
SCHY,74,State Street Institutional US Government Money Market Fund,STIV,cash,US,51.747661880399995,,11641380.0,857492706,,,False,asset_category=STIV
SCHY,75,Coca-Cola HBC AG,EC,equity,CH,47.6175660244,0.4790290902944691,10712255.6,,,,True,
SCHY,76,QBE Insurance Group Ltd,EC,equity,AU,32.5097531074,0.32704564212197873,7313536.03,,,,True,
SCHY,77,Zurich Insurance Group AG,EC,equity,CH,137.4038778169,1.382272553784764,30910976.4,,,,True,
SCHY,78,Allianz SE,EC,equity,DE,209.471650835,2.107268865665107,47123657.34,,,,True,
SCHY,79,BHP Group Ltd,EC,equity,AU,506.4346365877,5.094693902118086,113929747.46,,,,True,
SCHY,80,Generali,EC,equity,IT,54.2010865595,0.5452588058420447,12193313.13,,,,True,
SCHY,81,Eni SpA,EC,equity,IT,332.6958821943,3.3468952552213014,74844718.55,,,,True,
SCHY,82,Hyundai Motor Co,EP,preferred_equity,KR,33.7632816272,0.339656043632007,7595535.28,,,,True,
SCHY,83,Bursa Malaysia Bhd,EC,equity,MY,1.5487669206999999,0.01558047735411179,348417.37,,,,True,
SCHY,84,Sun Life Financial Inc,EC,equity,CA,46.0468011309,0.4632273150081341,10358889.47,866796105,,,True,
SCHY,85,Vinci SA,EC,equity,FR,411.6235840998,4.1409019296374385,92600639.05,,,,True,
SCHY,86,Kuehne + Nagel International AG,EC,equity,CH,94.3695590579,0.949350582174483,21229788.12,,,,True,
SCHY,87,Bidvest Group Ltd,EC,equity,ZA,37.0494723239,0.37271487194691316,8334811.09,,,,True,
SCHY,88,Cie Generale des Etablissements Michelin SCA,EC,equity,FR,236.2010125535,2.376164210328541,53136811.28,,,,True,
SCHY,89,United Overseas Bank Ltd,EC,equity,SG,54.200137876,0.5452492621582339,12193099.71,,,,True,
SCHY,90,Severstal PAO,EC,equity,RU,0.0,0.0,0.0,,,,True,
SCHY,91,Genting Singapore Ltd,EC,equity,SG,23.9876084436,0.24131351537769874,5396357.15,,,,True,
SCHY,92,Deutsche Post AG,EC,equity,DE,368.02332682499997,3.702286659628677,82792134.77,,,,True,
SCHY,93,SGS SA,EC,equity,CH,141.7944139851,1.4264410134973016,31898690.59,,,,True,
SCHY,94,Vodafone Group PLC,EC,equity,GB,218.05081670700002,2.193574621424309,49053663.96,,,,True,
SCHY,95,Manulife Financial Corp,EC,equity,CA,65.0930363932,0.654830992242684,14643613.73,56501R106,,,True,
SCHY,96,Naturgy Energy Group SA,EC,equity,ES,42.2531407336,0.4250633801259191,9505451.06,,,,True,
SCHY,97,Kimberly-Clark de Mexico SAB de CV,EC,equity,MX,12.0203316451,0.12092362154839113,2704146.3,,,,True,
SCHY,98,TMBThanachart Bank PCL,EC,equity,TH,4.7957524307,0.04824490447450705,1078873.41,,,,True,
SCHY,99,Ambev SA,EC,equity,BR,40.801372107599995,0.41045869823448267,9178854.85,,,,True,
SCHY,100,"ICE Futures U.S., Inc.",DE,derivative,US,0.3285288287,,73907.28,,,,False,asset_category=DE
SCHY,101,iA Financial Corp Inc,EC,equity,CA,12.4359776927,0.12510498915471302,2797651.85,45075E104,,,True,
SCHY,102,Gjensidige Forsikring ASA,EC,equity,NO,6.2890730150000005,0.06326759590415049,1414817.33,,,,True,
SCHY,103,Telenor ASA,EC,equity,NO,102.15547076989999,1.0276762614542947,22981340.82,,,,True,
SCHY,104,Mapfre SA,EC,equity,ES,5.4597717684,0.054924888476910176,1228254.1,,,,True,
SCHY,105,China Construction Bank Corp,EC,equity,CN,121.89362449929999,1.2262405858097625,27421722.08,,,,True,
