etf,roic_symbol,company_name,exchange,country,mapping_status,fundamental_currency,price_currency,fiscal_year,fiscal_year_end,price_date,price,net_income,minority_interest,preferred_dividends,earnings_for_common,diluted_shares,diluted_eps,equity_total,minority_equity,preferred_equity,common_equity,common_equity_prior,common_equity_average,dividends_paid,buybacks_gross,share_issuance,buybacks_net,dividend_adjustment,buyback_adjustment,dividends_final,buybacks_final,dividend_per_share,buyback_gross_per_share,buyback_net_per_share,roe,roe_method,earnings_yield,dividend_yield,gross_buyback_yield,net_buyback_yield,gross_shareholder_yield,net_shareholder_yield,quality,tags,notes
SCHY,DFM:EMIRATESNBD,Emirates NBD Bank PJSC,DFM,AE,mapped,AED,AED,2025,2025-12-31,2026-07-24,30.22,23981000000,-26000000,,23981000000,6311000000,3.7998732372048805,144819000000,237000000,,144345000000,125766000000,135055500000.0,6311000000,,,,0.0,0.0,6311000000,,1.0,,,0.1775640384878809,average_common_equity,0.12574034537408604,0.03309066843150232,,,0.03309066843150232,0.03309066843150232,OK,MISSING_BUYBACK,
SCHY,BSE:BNHOLDINGS,BOC Hong Kong Holdings Ltd,BSE,HK,ambiguous,,INR,,,2025-10-07,389.95,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,ending_common_equity_fallback,,,,,,,WARNING,MAPPING_AMBIGUOUS;ENDING_EQUITY_FALLBACK;MISSING_DIVIDEND;MISSING_BUYBACK,
