etf,position,name,asset_category,asset_type,country,weight_original,weight_normalized,market_value_usd,cusip,symbol,isin,included_in_equity_analysis,exclusion_reason
SCHY,80,Generali,EC,equity,IT,0.542010865595,0.5452588058420447,12193313.13,,,,True,
SCHY,81,Eni SpA,EC,equity,IT,3.326958821943,3.3468952552213014,74844718.55,,,,True,
SCHY,82,Hyundai Motor Co,EP,preferred_equity,KR,0.337632816272,0.33965604363200697,7595535.28,,,,True,
SCHY,83,Bursa Malaysia Bhd,EC,equity,MY,0.015487669207,0.01558047735411179,348417.37,,,,True,
SCHY,84,Sun Life Financial Inc,EC,equity,CA,0.460468011309,0.4632273150081341,10358889.47,866796105,,,True,
SCHY,85,Vinci SA,EC,equity,FR,4.116235840998,4.1409019296374385,92600639.05,,,,True,
SCHY,86,Kuehne + Nagel International AG,EC,equity,CH,0.943695590579,0.949350582174483,21229788.12,,,,True,
SCHY,87,Bidvest Group Ltd,EC,equity,ZA,0.370494723239,0.37271487194691316,8334811.09,,,,True,
SCHY,88,Cie Generale des Etablissements Michelin SCA,EC,equity,FR,2.362010125535,2.3761642103285405,53136811.28,,,,True,
SCHY,89,United Overseas Bank Ltd,EC,equity,SG,0.54200137876,0.5452492621582338,12193099.71,,,,True,
SCHY,90,Severstal PAO,EC,equity,RU,0.0,0.0,0.0,,,,True,
SCHY,91,Genting Singapore Ltd,EC,equity,SG,0.239876084436,0.24131351537769874,5396357.15,,,,True,
SCHY,92,Deutsche Post AG,EC,equity,DE,3.68023326825,3.7022866596286765,82792134.77,,,,True,
SCHY,93,SGS SA,EC,equity,CH,1.417944139851,1.4264410134973016,31898690.59,,,,True,
SCHY,94,Vodafone Group PLC,EC,equity,GB,2.18050816707,2.193574621424309,49053663.96,,,,True,
SCHY,95,Manulife Financial Corp,EC,equity,CA,0.650930363932,0.6548309922426839,14643613.73,56501R106,,,True,
SCHY,96,Naturgy Energy Group SA,EC,equity,ES,0.422531407336,0.42506338012591904,9505451.06,,,,True,
SCHY,97,Kimberly-Clark de Mexico SAB de CV,EC,equity,MX,0.120203316451,0.12092362154839113,2704146.3,,,,True,
SCHY,98,TMBThanachart Bank PCL,EC,equity,TH,0.047957524307,0.04824490447450705,1078873.41,,,,True,
SCHY,99,Ambev SA,EC,equity,BR,0.408013721076,0.41045869823448267,9178854.85,,,,True,
SCHY,100,"ICE Futures U.S., Inc.",DE,derivative,US,0.003285288287,,73907.28,,,,False,asset_category=DE
SCHY,101,iA Financial Corp Inc,EC,equity,CA,0.124359776927,0.125104989154713,2797651.85,45075E104,,,True,
SCHY,102,Gjensidige Forsikring ASA,EC,equity,NO,0.06289073015,0.06326759590415049,1414817.33,,,,True,
SCHY,103,Telenor ASA,EC,equity,NO,1.021554707699,1.0276762614542945,22981340.82,,,,True,
SCHY,104,Mapfre SA,EC,equity,ES,0.054597717684,0.054924888476910176,1228254.1,,,,True,
SCHY,105,China Construction Bank Corp,EC,equity,CN,1.218936244993,1.2262405858097623,27421722.08,,,,True,
