etf,symbol,date,severity,tag,stage,message,metric_impact,recommended_action,status,resolved_at
SCHY,B3:TIMS3,2026-07-27,BLOCKER,TICKER_VALIDATION_FAILED,resolver,Nome do ticker (TIM S.A.) não combina com TIM SA/Brazil.,todas,Corrigir mapeamento manual ou regra de validação.,pending,
SCHY,SET:CENTEL,2026-07-27,BLOCKER,TICKER_VALIDATION_FAILED,resolver,Nome do ticker (Central Plaza Hotel Public Co. Ltd.) não combina com Central Pattana PCL.,todas,Corrigir mapeamento manual ou regra de validação.,pending,
SCHY,SET:CHIC,2026-07-27,BLOCKER,TICKER_VALIDATION_FAILED,resolver,País do ticker (TH) diferente do país do ETF (TW).,todas,Corrigir mapeamento manual ou regra de validação.,pending,
SCHY,ASX:NEW,2026-07-27,BLOCKER,TICKER_VALIDATION_FAILED,resolver,Nome do ticker (New Energy Solar Limited) não combina com Spark New Zealand Ltd.,todas,Corrigir mapeamento manual ou regra de validação.,pending,
SCHY,KSE:OOREDOO,2026-07-27,BLOCKER,TICKER_VALIDATION_FAILED,resolver,País do ticker (KW) diferente do país do ETF (QA).,todas,Corrigir mapeamento manual ou regra de validação.,pending,
SCHY,BMV:KOFL,2026-07-27,BLOCKER,API_FETCH_FAILURE,fetch,"HTTP 404 em /fundamental/income-statement/BMV:KOFL: {""error"":{""type"":""invalid_request_error"",""code"":""resource_missing"",""message"":""No ticker matches the supplied identifier."",""param"":""identifier"",""request_id"":""req_4b747af1166ca48d3d4941375d4006e1""}}",todas,Revisar ticker ou reexecutar após corrigir mapeamento.,pending,
SCHY,B3:ENGI3,2026-07-27,BLOCKER,TICKER_VALIDATION_FAILED,resolver,Nome do ticker (Energisa SA) não combina com Engie Brasil Energia SA.,todas,Corrigir mapeamento manual ou regra de validação.,pending,
SCHY,CSE:WEST,2026-07-27,BLOCKER,TICKER_VALIDATION_FAILED,resolver,Nome do ticker (West Mining Corp.) não combina com Great-West Lifeco Inc.,todas,Corrigir mapeamento manual ou regra de validação.,pending,
SCHY,NASDAQ:IACVV,2026-07-27,BLOCKER,TICKER_VALIDATION_FAILED,resolver,Nome do ticker (IAC Inc. Common Stock Ex-distribution When-Issued) não combina com iA Financial Corp Inc.,todas,Corrigir mapeamento manual ou regra de validação.,pending,
SCHY,BMV:KIMBER/A,2026-07-27,BLOCKER,API_FETCH_FAILURE,fetch,"HTTP 404 em /fundamental/income-statement/BMV:KIMBER/A: {""error"":{""type"":""invalid_request_error"",""code"":""resource_missing"",""message"":""No v3 route matches this request."",""request_id"":""req_da91bb9ad8eaef6bcd0621debd22e94b""}}",todas,Revisar ticker ou reexecutar após corrigir mapeamento.,pending,
SCHY,TWSE:6147,2026-07-27,BLOCKER,API_FETCH_FAILURE,fetch,"HTTP 404 em /fundamental/income-statement/TWSE:6147: {""error"":{""type"":""invalid_request_error"",""code"":""resource_missing"",""message"":""No ticker matches the supplied identifier."",""param"":""identifier"",""request_id"":""req_12630835237824102daef5501f7467ff""}}",todas,Revisar ticker ou reexecutar após corrigir mapeamento.,pending,
SCHY,B3:NEOE3,2026-07-27,BLOCKER,API_FETCH_FAILURE,fetch,"HTTP 404 em /stock-prices/latest/B3:NEOE3: {""error"":{""type"":""invalid_request_error"",""code"":""resource_missing"",""message"":""No stock price is available for the supplied identifier."",""param"":""identifier"",""request_id"":""req_6878e7b7e023a44259a9946d1a7a6caf""}}",todas,Revisar ticker ou reexecutar após corrigir mapeamento.,pending,
