etf,roic_symbol,company_name,weight_normalized,exchange,country,mapping_status,fundamental_currency,price_currency,fiscal_year,fiscal_year_end,price_date,price,net_income,minority_interest,preferred_dividends,earnings_for_common,diluted_shares,diluted_eps,equity_total,minority_equity,preferred_equity,common_equity,common_equity_prior,common_equity_average,dividends_paid,buybacks_gross,share_issuance,buybacks_net,dividend_adjustment,buyback_adjustment,dividends_final,buybacks_final,dividend_per_share,buyback_gross_per_share,buyback_net_per_share,roe,roe_method,earnings_yield,dividend_yield,gross_buyback_yield,net_buyback_yield,gross_shareholder_yield,net_shareholder_yield,quality,tags,notes
SCHY,KRX:030000,Cheil Worldwide Inc,0.07715030489844613,KRX,KR,manual,KRW,KRW,2025,2025-12-31,2026-07-27,19130,207545863910,-1066653970,,207545863910,101291295,2049.0000044919952,1588049835350,15707954020,,1556633927310,1441959743440,1499296835375.0,124564318070,,,,0.0,0.0,124564318070,,1229.763308584415,,,0.13842880143083153,average_common_equity,0.10710925271782516,0.06428454305198196,,,0.06428454305198196,0.06428454305198196,OK,MISSING_BUYBACK,
SCHY,TWSE:2006,Tung Ho Steel Enterprise Corp,0.07403583823131007,TWSE,TW,manual,TWD,TWD,2025,2025-12-31,2026-07-24,71.8,4720934000,-37050000,,4720934000,732775000,6.442542390228924,34462346000,116374000,,34229598000,32516880000,33373239000.0,2920855000,,,,0.0,0.0,2920855000,,3.986018900753983,,,0.14145866992412692,average_common_equity,0.08972900264942792,0.055515583575960765,,,0.055515583575960765,0.055515583575960765,OK,MISSING_BUYBACK,
SCHY,OSL:GJF,Gjensidige Forsikring ASA,0.06326759590415049,OSL,NO,manual,NOK,NOK,2025,2025-12-31,2026-07-24,279,6556100000,-100000,,6556100000,500131008,13.108765293752793,28309700000,2500000,,28304700000,25999000000,27151850000.0,4999700000,,,,0.0,0.0,4999700000,,9.996780683512428,,,0.24146052663078207,average_common_equity,0.046984821841407856,0.03583075513803738,,,0.03583075513803738,0.03583075513803738,OK,MISSING_BUYBACK,
SCHY,BME:MAP,Mapfre SA,0.054924888476910176,BME,ES,mapped,EUR,EUR,2025,2025-12-31,2026-07-24,4.328,1132600000,-664700000,,1132600000,3063900000,0.36965958419008454,10514300000,1104400000,,8305500000,7791900000,8048700000.0,1183400000,40400000,7400000,33000000,0.0,0.0,1183400000,40400000,0.38623975978328273,0.013185808936322986,0.010770586507392538,0.14071837688073852,average_common_equity,0.08541117934151675,0.08924208867451079,0.003046628682144867,0.002488582834425263,0.09228871735665566,0.09173067150893606,OK,,
SCHY,SET:TTB,TMBThanachart Bank PCL,0.04824490447450705,SET,TH,manual,THB,THB,2025,2025-12-31,2026-07-24,3.02,20639416000,0,,20639416000,95948000000,0.21511043481886022,244193908000,,,244193908000,237812367000,241003137500.0,12572995000,5104709000,161433000,4943276000,0.0,0.0,12572995000,5104709000,0.1310396777421103,0.053202870304748406,0.051520365197815485,0.08563961537637658,average_common_equity,0.07122862080094709,0.043390621768910696,0.017616844471770997,0.01705972357543559,0.06100746624068169,0.06045034534434629,OK,,
SCHY,B3:BBSE3,BB Seguridade Participacoes SA,0.0469972593332882,B3,BR,mapped,BRL,BRL,2025,2025-12-31,2026-07-24,41.49,9017329000,,,9017329000,1941210306,4.645209729274948,10384393000,,,10384393000,9695421000,10039907000.0,8273740000,0,,0,0.0,0.0,8273740000,0,4.262155406051095,0.0,0.0,0.8981486581499211,average_common_equity,0.11195974281212215,0.10272729346953711,0.0,0.0,0.10272729346953711,0.10272729346953711,OK,,
SCHY,SET:TISCO,Tisco Financial Group PCL,0.0161250294778694,SET,TH,mapped,THB,THB,2025,2025-12-31,2026-07-24,130,6658898000,-378000,,6658898000,800655000,8.316813109266787,43376896000,2907000,99000,43370983000,43038865000,43204924000.0,6204037000,,,,0.0,0.0,6204037000,,7.748702000237306,,,0.15412359017226832,average_common_equity,0.06397548545589836,0.05960540000182543,,,0.05960540000182543,0.05960540000182543,OK,MISSING_BUYBACK,
SCHY,MYX:BURSA,Bursa Malaysia Bhd,0.01558047735411179,MYX,MY,mapped,,MYR,,,2026-07-24,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,ending_common_equity_fallback,,,,,,,BLOCKER,ENDING_EQUITY_FALLBACK;MISSING_DIVIDEND;MISSING_BUYBACK;MISSING_CORE_METRICS,
SCHY,MOEX:SBER,Sberbank of Russia PJSC,0.0,MOEX,RU,mapped,,RUB,,,2026-07-26,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,ending_common_equity_fallback,,,,,,,BLOCKER,ENDING_EQUITY_FALLBACK;MISSING_DIVIDEND;MISSING_BUYBACK;MISSING_CORE_METRICS,
SCHY,MOEX:CHMF,Severstal PAO,0.0,MOEX,RU,manual,,RUB,,,2026-07-27,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,ending_common_equity_fallback,,,,,,,BLOCKER,ENDING_EQUITY_FALLBACK;MISSING_DIVIDEND;MISSING_BUYBACK;MISSING_CORE_METRICS,
