etf,roic_symbol,company_name,weight_normalized,exchange,country,mapping_status,fundamental_currency,price_currency,fiscal_year,fiscal_year_end,price_date,price,net_income,minority_interest,preferred_dividends,earnings_for_common,diluted_shares,diluted_eps,equity_total,minority_equity,preferred_equity,common_equity,common_equity_prior,common_equity_average,dividends_paid,buybacks_gross,share_issuance,buybacks_net,dividend_adjustment,buyback_adjustment,dividends_final,buybacks_final,dividend_per_share,buyback_gross_per_share,buyback_net_per_share,roe,roe_method,earnings_yield,dividend_yield,gross_buyback_yield,net_buyback_yield,gross_shareholder_yield,net_shareholder_yield,quality,tags,notes
SCHY,OSL:TEL,Telenor ASA,1.0276762614542945,OSL,NO,mapped,NOK,NOK,2025,2025-12-31,2026-07-24,131.6,7034000000,-1329000000,,7034000000,1368211000,5.141019915787843,75623000000,5150000000,,65323000000,69932000000,67627500000.0,13135000000,195000000,,195000000,0.0,0.0,13135000000,195000000,9.600127465719835,0.1425218771081361,0.1425218771081361,0.10401094229418506,average_common_equity,0.03906550087984683,0.07294929685197443,0.0010829929871438914,0.0010829929871438914,0.07403228983911832,0.07403228983911832,OK,,
SCHY,HEL:ELISA,Elisa Oyj,0.6802704217479697,HEL,FI,mapped,EUR,EUR,2025,2025-12-31,2026-07-24,34.4,342000000,200000,,342000000,160652000,2.1288250379702713,1258900000,6500000,,1245900000,1278200000,1262050000.0,381400000,,,,0.0,0.0,381400000,,2.3740756417598288,,,0.27098767877659363,average_common_equity,0.061884448778205564,0.06901382679534386,,,0.06901382679534386,0.06901382679534386,OK,MISSING_BUYBACK,
SCHY,TSX:BCE,BCE Inc,0.6519400374867682,TSX,CA,mapped,CAD,CAD,2025,2025-12-31,2026-07-24,30.08,6460000000,-54000000,155000000,6305000000,928571429,6.789999996866154,23310000000,290000000,3288000000,19442000000,13249000000,16345500000.0,2177000000,,,,0.0,0.0,2177000000,,2.3444615373794795,,,0.3857330763818788,average_common_equity,0.2257313828745397,0.07794087557777525,,,0.07794087557777525,0.07794087557777525,OK,MISSING_BUYBACK,
SCHY,IDX:TLKM,Telkom Indonesia Persero Tbk PT,0.6420944492664507,IDX,ID,manual,IDR,IDR,2025,2025-12-31,2026-07-27,2590,17486000000000,-6482000000000,,17486000000000,99061024659,176.51745537856542,149703000000000,19552000000000,,110599000000000,113344000000000,111971500000000.0,21047000000000,30000000000,270000000000,-240000000000,0.0,0.0,21047000000000,30000000000,212.46499390098742,0.302843626979124,-2.422749015832992,0.15616473834859762,average_common_equity,0.06815345767512178,0.08203281617798742,0.00011692804130468107,-0.0009354243304374486,0.08214974421929211,0.08109739184754998,OK,,
SCHY,TSE:1878,Daito Trust Construction Co Ltd,0.6248798701500075,TSE,JP,manual,JPY,JPY,2026,2026-03-31,2026-07-27,3330,99030000000,40000000,,99030000000,331248328,298.95999958073753,496596000000,247000000,,496102000000,465526000000,480814000000.0,51203000000,26974000000,5019000000,21955000000,0.0,0.0,51203000000,26974000000,154.57587456864084,81.43135442482898,66.27957983232447,0.20596322070488796,average_common_equity,0.08977777765187313,0.046419181552144397,0.02445386018763633,0.019903777727424767,0.07087304173978073,0.06632295927956916,OK,,
SCHY,SGX:U11,United Overseas Bank Ltd,0.5452492621582338,SGX,SG,manual,SGD,SGD,2025,2025-12-31,2026-07-27,43.5,4682000000,-13000000,,4682000000,1671416000,2.801217650184036,51493000000,245000000,,51003000000,49509000000,50256000000.0,3781000000,770000000,,770000000,0.0,0.0,3781000000,770000000,2.262153766626621,0.46068722568169745,0.46068722568169745,0.09316300541228908,average_common_equity,0.06439580805020773,0.05200353486497979,0.010590510935211435,0.010590510935211435,0.06259404580019123,0.06259404580019123,OK,,
SCHY,B3:ITUB4,Itau Unibanco Holding SA,0.5442642977449185,B3,BR,mapped,BRL,BRL,2025,2025-12-31,2026-07-24,42.1,44857000000,-992000000,,44857000000,11862475873.511276,3.781419703467215,215076000000,10575000000,,193926000000,200896000000,197411000000.0,48299000000,3085000000,947000000,2138000000,0.0,0.0,48299000000,3085000000,4.071578354721961,0.26006375337620347,0.18023218953592315,0.22722644634797454,average_common_equity,0.08981994545052767,0.09671207493401332,0.006177286303472767,0.00428104963268226,0.10288936123748608,0.10099312456669558,OK,,
SCHY,QSE:IQCD,Industries Qatar QSC,0.4937909697538275,QSE,QA,manual,QAR,QAR,2025,2025-12-31,2026-07-27,10.89,4300053000,-23438000,,4300053000,6050000000,0.710752561983471,38653865000,723225000,,37207415000,37025698000,37116556500.0,4184759000,,,,0.0,0.0,4184759000,,0.6916957024793389,,,0.11585269231535528,average_common_equity,0.06526653461739862,0.06351659343244617,,,0.06351659343244617,0.06351659343244617,OK,MISSING_BUYBACK,
SCHY,LSE:CCH,Coca-Cola HBC AG,0.4790290902944691,LSE,CH,manual,GBP,GBX,2025,2025-12-31,2026-07-27,48.52,820029683.9384327,87200.09399600518,,820029683.9384327,363300000,2.2571695126298725,3437078904.9465404,84584091.17612502,,3267910722.5942903,2572114896.9659314,2920012809.780111,326477151.9210434,0,6104006.579720362,-6104006.579720362,0.0,0.0,326477151.9210434,0,0.8986434129398387,0.0,-0.016801559536802537,0.28083085156060816,average_common_equity,0.046520393912404624,0.018521092599749354,0.0,-0.00034628111164061287,0.018521092599749354,0.01817481148810874,OK,PRICE_UNIT_CONVERTED,
SCHY,JSE:VOD,Vodacom Group Ltd,0.46216632711214134,JSE,ZA,mapped,ZAR,ZAC,2026,2026-03-31,2026-07-24,153.72,20647000000,-6090000000,,20647000000,1987682371,10.387474528746022,107235000000,14681000000,,77873000000,80386000000,79129500000.0,12953000000,539000000,82000000,457000000,0.0,0.0,12953000000,539000000,6.516634744555975,0.2711700862592195,0.22991601005651824,0.2609267087495814,average_common_equity,0.06757399511284168,0.04239288800778022,0.0017640520833933093,0.0014956805233965536,0.044156940091173526,0.04388856853117677,OK,PRICE_UNIT_CONVERTED,
SCHY,KRX:033780,KT&G Corp,0.42134879671655623,KRX,KR,manual,KRW,KRW,2025,2025-12-31,2026-07-27,182600,1090072000000,-12244000000,,1090072000000,106660665,10220.000034689452,9336169000000,56609000000,,9222951000000,9119877000000,9171414000000.0,603832000000,560112000000,,560112000000,0.0,0.0,603832000000,560112000000,5661.2435334056845,5251.345470234974,5251.345470234974,0.1188553913278803,average_common_equity,0.05596933206292142,0.031003524279330143,0.02875873751497795,0.02875873751497795,0.05976226179430809,0.05976226179430809,OK,,
SCHY,B3:ABEV3,Ambev SA,0.41045869823448267,B3,BR,mapped,BRL,BRL,2025,2025-12-31,2026-07-24,15.64,15503400000,-485000000,,15503400000,15683900000,0.9884913828830839,88774800000,860700000,,87053400000,97703700000,92378550000.0,20463500000,1925700000,,1925700000,0.0,0.0,20463500000,1925700000,1.3047456308698728,0.12278196111936444,0.12278196111936444,0.16782467358493935,average_common_equity,0.06320277384162941,0.08342363368733202,0.007850509022977266,0.007850509022977266,0.09127414271030929,0.09127414271030929,OK,,
SCHY,NSE:ITC,ITC Ltd,0.40362625273146463,NSE,IN,mapped,INR,INR,2026,2026-03-31,2026-07-24,283.45,206894700000,-3286800000,,206894700000,12532552734,16.508584036411683,728730200000,3657200000,,721415800000,696621600000,709018700000.0,182714400000,4048500000,4048500000,0,0.0,0.0,182714400000,4048500000,14.579184614504571,0.32303873647518616,0.0,0.2918042923268455,average_common_equity,0.05824160887779744,0.05143476667667868,0.001139667442142128,0.0,0.052574434118820804,0.05143476667667868,OK,,
SCHY,ASX:QBE,QBE Insurance Group Ltd,0.32704564212197873,ASX,AU,mapped,AUD,AUD,2025,2025-12-31,2026-07-24,24.85,3231401700,-11984800,,3231401700,1522982419,2.1217590299707854,17487321300,,,17487321300,17334750090,17411035695.0,1208966700,290631400,,290631400,0.0,0.0,1208966700,290631400,0.7938152699056207,0.1908304366315866,0.1908304366315866,0.18559503045117387,average_common_equity,0.0853826571416815,0.031944276454954554,0.00767929322461113,0.00767929322461113,0.039623569679565686,0.039623569679565686,OK,,
SCHY,OSL:DNB,DNB Bank ASA,0.3209457980540572,OSL,NO,mapped,NOK,NOK,2025,2025-12-31,2026-07-24,298.7,43547000000,-39000000,,43547000000,1474234000,29.53872994382167,295855000000,705000000,,294445000000,282889000000,288667000000.0,24835000000,5527000000,,5527000000,0.0,0.0,24835000000,5527000000,16.8460366536113,3.749065616448949,3.749065616448949,0.15085548400059584,average_common_equity,0.09889096064218839,0.05639784617881252,0.012551274243217106,0.012551274243217106,0.06894912042202962,0.06894912042202962,OK,,
SCHY,B3:KLBN3,Klabin SA,0.2943460050566908,B3,BR,mapped,BRL,BRL,2025,2025-12-31,2026-07-24,3.53,1403135000,-275076000,,1403135000,6137948381,0.22860000001684602,14401101000,6515155000,,1370791000,4666506000,3018648500.0,957000000,33050000,33050000,0,0.0,0.0,957000000,33050000,0.15591528970207547,0.005384535344465615,0.0,0.4648222540650228,average_common_equity,0.0647592068036391,0.044168637309369825,0.0015253641202452168,0.0,0.04569400142961504,0.044168637309369825,OK,,
SCHY,IDX:BBCA,Bank Central Asia Tbk PT,0.2846607263220392,IDX,ID,manual,IDR,IDR,2025,2025-12-31,2026-07-27,6300,57537287000000,-25806000000,,57537287000000,123244982342,466.8529777572306,281687555000000,221077000000,,281245401000000,262446155000000,271845778000000.0,37595047000000,2152514000000,,2152514000000,0.0,0.0,37595047000000,2152514000000,305.04322598444793,17.46532766767622,17.46532766767622,0.21165414972896876,average_common_equity,0.07410364726305248,0.0484195596800711,0.0027722742329644792,0.0027722742329644792,0.05119183391303558,0.05119183391303558,OK,,
SCHY,DFM:EMIRATESNBD,Emirates NBD Bank PJSC,0.26988411009324415,DFM,AE,mapped,AED,AED,2025,2025-12-31,2026-07-24,30.22,23981000000,-26000000,,23981000000,6311000000,3.7998732372048805,144819000000,237000000,,144345000000,125766000000,135055500000.0,6311000000,,,,0.0,0.0,6311000000,,1.0,,,0.1775640384878809,average_common_equity,0.12574034537408604,0.03309066843150232,,,0.03309066843150232,0.03309066843150232,OK,MISSING_BUYBACK,
SCHY,HEL:KESKOA,Kesko Oyj,0.25933619531905483,HEL,FI,mapped,EUR,EUR,2025,2025-12-31,2026-07-24,20.75,404200000,-700000,,404200000,398084475,1.01536238005765,2826700000,29000000,,2768700000,2709200000,2738950000.0,370200000,15500000,15500000,0,0.0,0.0,370200000,15500000,0.9299533723338494,0.03893645940349721,0.0,0.14757480056225927,average_common_equity,0.04893312674976626,0.044817029991992746,0.0018764558748673352,0.0,0.046693485866860084,0.044817029991992746,OK,,
SCHY,HKEX:2388,BOC Hong Kong Holdings Ltd,0.2588685064804215,HKEX,HK,manual,HKD,HKD,2025,2025-12-31,2026-07-24,51.25,40121000000,-1068000000,,40121000000,10572780266,3.7947445223108733,363475000000,4947000000,,353581000000,335202000000,344391500000.0,24201000000,,,,0.0,0.0,24201000000,,2.2889911065139317,,,0.11649822948591937,average_common_equity,0.07404379555728534,0.04466324110271086,,,0.04466324110271086,0.04466324110271086,OK,MISSING_BUYBACK,
SCHY,SGX:G13,Genting Singapore Ltd,0.24131351537769874,SGX,SG,manual,SGD,SGD,2025,2025-12-31,2026-07-27,0.625,390346000,,,390346000,12091547000,0.032282552431049556,8205416000,,,8205416000,8297577000,8251496500.0,483317000,,,,0.0,0.0,483317000,,0.03997147759505049,,,0.047306085629437035,average_common_equity,0.05165208388967929,0.06395436415208079,,,0.06395436415208079,0.06395436415208079,OK,MISSING_BUYBACK,
SCHY,IDX:BBRI,Bank Rakyat Indonesia Persero Tbk PT,0.22350428672550873,IDX,ID,manual,IDR,IDR,2025,2025-12-31,2026-07-27,2950,56652384000000,-479981000000,,56652384000000,150602160685,376.17245159247295,330941434000000,6907576000000,,317126282000000,310741686000000,313933984000000.0,51881643000000,,,,0.0,0.0,51881643000000,,344.4946789874803,,,0.1804595452781563,average_common_equity,0.12751608528558406,0.11677785728389163,,,0.11677785728389163,0.11677785728389163,OK,MISSING_BUYBACK,
SCHY,BMV:AC,Arca Continental SAB de CV,0.2200259732329104,BMV,MX,manual,MXN,MXN,2025,2025-12-31,2026-07-24,199.09,19580455000,-4389268000,,19580455000,1698192000,11.530177388658055,163202491000,33266559000,,96669373000,101686166000,99177769500.0,14605549000,115065000,115065000,0,0.0,0.0,14605549000,115065000,8.600646452226838,0.06775735605867887,0.0,0.19742786209766494,average_common_equity,0.05791439745169549,0.04319979131160198,0.0003403353059354004,0.0,0.04354012661753738,0.04319979131160198,OK,,
SCHY,KRX:032640,LG Uplus Corp,0.18615570545786048,KRX,KR,manual,KRW,KRW,2025,2025-12-31,2026-07-27,14710,523866000000,14640000000,,523866000000,429046683,1221.0000001328526,9067527000000,200669000000,,8666189000000,8343663000000,8504926000000.0,279388000000,60527000000,,60527000000,0.0,0.0,279388000000,60527000000,651.183218680192,141.0732267565392,141.0732267565392,0.0615955976571695,average_common_equity,0.08300475867660453,0.044268063812385586,0.009590294137086283,0.009590294137086283,0.05385835794947187,0.05385835794947187,OK,,
